2018 rank, City, State, 2018 Estimate, 2010 Census, Change(%), 2016 land area(sq mi), 2016 land area(sq km), 2016 population density(sq mi), 2016 population density(sq km), location, Male(%), Female(%), Median Age (yrs), Median Household income ($), Median Household value ($) 
200,West Valley City, Utah,136401,129480,+5.35,35.5,91.9,3847,1485,40.6885°N 112.0118°W,52.0,48.0,30.8,63882,202200
201,Charleston,South Carolina,136208,120083,+13.43,109.0,282.3,1233,476,32.8179°N 79.9590°W,47.0,53.0,35.7,61467,297700
202,Warren, Michigan,134587,134056,+0.40,34.4,89.1,3928,1517,42.4929°N 83.0250°W,49.9,50.1,37.5,46249,113500
203,Hampton, Virginia,134313,137436,-2.27,51.5,133.4,2629,1015,37.0480°N 76.2971°W,47.4,52.6,36.2,50435,194900
204,Gainesville, Florida,133857,124354,+7.64,62.3,161.4,2112,815,29.6788°N 82.3461°W,46.3,53.7,26.6,32968,154600
205,Visalia, California,133800,124442,+7.52,37.5,97.1,3495,1349,36.3273°N 119.3289°W,46.7,53.3,31.5,55280,214500
206,Coral Springs, Florida,133507,121096,+10.25,23.8,61.6,5465,2110,26.2707°N 80.2593°W,47.8,52.2,38.3,70031,336100
207,Columbia, South Carolina,133451,129272,+3.23,133.5,345.8,1006,388,34.0291°N 80.8980°W,51.8,48.2,28.5,48577,164600
208,Cedar Rapids, Iowa,133174,126326,+5.42,70.8,183.4,1852,715,41.9670°N 91.6778°W,49.3,50.7,35.7,57135,137900
209,Sterling Heights, Michigan,132964,129699,+2.52,36.5,94.5,3628,1401,42.5812°N 83.0303°W,48.4,51.6,39.5,61828,173400
210,New Haven, Connecticut,130418,129779,+0.49,18.7,48.4,6948,2683,41.3108°N 72.9250°W,46.2,53.8,30.8,40457,191000
211,Stamford, Connecticut,129775,122643,+5.82,37.6,97.4,3434,1326,41.0799°N 73.5460°W,50.4,49.6,37.9,87662,526300
212,Concord, California,129688,122067,+6.24,30.5,79.0,4221,1630,37.9722°N 122.0016°W,49.9,50.1,37.6,76335,530900
213,Kent, Washington,129618,92411,+40.26,33.7,87.3,3784,1461,47.3880°N 122.2127°W,50.5,49.5,34.2,65423,320000
214,Santa Clara, California,129488,116468,+11.18,18.4,47.7,6845,2643,37.3646°N 121.9679°W,51.6,48.4,33.2,110110,956800
215,Elizabeth, New Jersey,128885,124969,+3.13,12.3,31.9,10459,4038,40.6664°N 74.1935°W,48.4,51.6,33.4,42690,263800
216,Round Rock, Texas,128739,99887,+28.88,35.6,92.2,3396,1311,30.5252°N 97.6660°W,49.4,50.6,33.9,72001,233200
217,Thousand Oaks, California,127690,126683,+0.79,55.2,143.0,2335,902,34.1933°N 118.8742°W,49.0,51.0,44.7,100578,684500
218,Lafayette, Louisiana,126143,120623,+4.58,53.8,139.3,2372,916,30.2074°N 92.0285°W,47.7,52.3,36.0,48139,193900
219,Athens, Georgia,125964,115452,+9.11,116.4,301.5,1060,410,33.9496°N 83.3701°W,48.4,51.6,24.2,30753,178040
220,Topeka, Kansas,125904,127473,-1.23,61.5,159.3,2062,796,39.0347°N 95.6962°W,47.5,52.5,36.0,45054,107900
221,Simi Valley, California,125851,124237,+1.30,41.5,107.5,3044,1175,34.2669°N 118.7485°W,48.7,51.3,40.1,94363,546800
222,Fargo,North Dakota,124844,105549,+18.28,49.3,127.7,2450,950,46.8652°N 96.8290°W,53.4,46.6,31.0,52699,196400
223,Norman, Oklahoma,123471,110925,+11.31,178.8,463.1,683,264,35.2406°N 97.3453°W,49.9,50.1,31.1,52041,172400
224,Columbia, Missouri,123180,108500,+13.53,65.0,168.3,1856,717,38.951561°N 92.328638°W,48.3,51.7,28.5,50044,187200
225,Abilene, Texas,122999,117063,+5.07,106.7,276.4,1146,442,32.4545°N 99.7381°W,52.1,47.9,32.3,45713,107200
226,Wilmington, North Carolina,122607,106476,+15.15,51.6,133.6,2278,880,34.2092°N 77.8858°W,48.6,51.4,35.7,38800,236300
227,Hartford, Connecticut,122587,124775,-1.75,17.4,45.1,7083,2735,41.7659°N 72.6816°W,48.9,51.1,31.0,36637,161200
228,Victorville, California,122312,115903,+5.53,73.3,189.8,1668,644,34.5277°N 117.3536°W,49.4,50.6,31.6,48065,210500
229,Pearland, Texas,122149,91252,+33.86,46.3,119.9,2453,947,29.5558°N 95.3231°W,48.9,51.1,36.1,91010,231800
230,Vallejo, California,121913,115942,+5.15,30.7,79.5,3951,1525,38.1079°N 122.2640°W,49.0,51.0,38.5,65241,332700
231,Ann Arbor, Michigan,121890,113934,+6.98,28.1,72.8,4298,1659,42.2761°N 83.7309°W,50.9,49.1,28.0,60745,297700
232,Berkeley, California,121643,112580,+8.05,10.5,27.2,11547,4458,37.8670°N 122.2991°W,47.7,52.3,32.1,78121,930500
233,Allentown, Pennsylvania,121433,118032,+2.88,17.5,45.3,6882,2657,40.5936°N 75.4784°W,48.1,51.9,30.5,35813,121800
234,Richardson, Texas,120981,99223,+21.93,28.6,74.1,3963,1530,32.9723°N 96.7081°W,49.7,50.3,35.2,82241,246200
235,Odessa, Texas,120568,99940,+20.64,45.2,117.1,2608,1007,31.8838°N 102.3411°W,49.8,50.2,31.0,56265,143100
236,Arvada, Colorado,120492,106433,+13.21,38.6,100.0,3043,1175,39.8337°N 105.1503°W,49.8,50.2,38.4,75082,342700
237,Cambridge, Massachusetts,118977,105162,+13.14,6.4,16.6,17289,6675,42.3760°N 71.1187°W,48.8,51.2,30.2,86657,739800
238,Sugar Land, Texas,118600,78817,+50.48,34.0,88.1,3488,1347,29.5994°N 95.6142°W,50.4,49.6,42.0,112998,325200
239,Beaumont, Texas,118428,118296,+0.11,82.1,212.6,1441,556,30.0849°N 94.1453°W,48.7,51.3,33.6,42077,104600
240,Lansing, Michigan,118427,114297,+3.61,39.1,101.3,2967,1146,42.7143°N 84.5593°W,47.9,52.1,32.7,40160,79200
241,Evansville, Indiana,117963,117429,+0.45,47.3,122.5,2526,975,37.9877°N 87.5347°W,48.5,51.5,35.6,38865,92800
242,Rochester, Minnesota,116961,106769,+9.55,54.6,141.4,2088,806,44.0154°N 92.4772°W,48.7,51.3,35.6,67712,177300
243,Independence, Missouri,116925,116830,+0.08,77.8,201.5,1504,581,39.0855°N 94.3521°W,47.8,52.2,39.3,45970,109600
244,Fairfield, California,116884,105321,+10.98,40.9,105.9,2806,1083,38.2593°N 122.0321°W,48.6,51.4,35.0,69235,376000
245,Provo, Utah,116702,112488,+3.75,41.7,108.0,2803,1082,40.2453°N 111.6448°W,49.9,50.1,23.3,46883,248600
246,Clearwater, Florida,116478,107685,+8.17,25.9,67.1,4415,1705,27.9789°N 82.7666°W,48.9,51.1,44.0,41844,190900
247,College Station, Texas,116218,93857,+23.82,51.0,132.1,2199,849,30.5852°N 96.2964°W,50.6,49.4,22.5,39068,239900
248,West Jordan, Utah,116046,103712,+11.89,32.3,83.7,3520,1360,40.6024°N 112.0008°W,52.1,47.9,30.6,71517,252100
249,Carlsbad, California,115877,105328,+10.02,37.7,97.6,3023,1167,33.1239°N 117.2828°W,47.0,53.0,41.4,113217,804100
250,El Monte, California,115586,113475,+1.86,9.6,24.9,12063,4658,34.0746°N 118.0291°W,50.9,49.1,35.1,48434,430600
251,Murrieta, California,114985,103466,+11.13,33.6,87.0,3324,1283,33.5721°N 117.1904°W,49.9,50.1,33.5,81467,398800
252,Temecula, California,114742,100097,+14.63,37.3,96.6,3031,1170,33.4931°N 117.1317°W,49.5,50.5,34.4,90179,411300
253,Springfield, Illinois,114694,116250,-1.34,60.1,155.7,1925,743,39.7911°N 89.6446°W,48.3,51.7,39.4,48179,131800
254,Palm Bay, Florida,114194,103190,+10.66,65.7,170.2,1676,647,27.9856°N 80.6626°W,47.9,52.1,43.0,45712,128600
255,Costa Mesa, California,113615,109960,+3.32,15.7,40.7,7186,2775,33.6659°N 117.9123°W,49.8,50.2,35.1,81019,720800
256,Westminster, Colorado,113479,106114,+6.94,31.7,82.1,3592,1387,39.8822°N 105.0644°W,49.5,50.5,35.5,71313,310200
257,North Charleston, South Carolina,113237,97471,+16.18,73.7,190.9,1483,573,32.9178°N 80.0650°W,47.4,52.6,33.6,35600,152000
258,Miami Gardens, Florida,113069,107167,+5.51,18.2,47.1,6212,2398,25.9489°N 80.2436°W,50.2,49.8,33.4,47834,189842
259,Manchester,New Hampshire,112525,109565,+2.70,33.1,85.7,3339,1289,42.9849°N 71.4441°W,53.0,47.0,36.2,54664,219300
260,High Point, North Carolina,112316,104371,+7.61,55.2,143.0,2015,778,35.9900°N 79.9905°W,47.4,52.6,36.1,41250,147600
261,Downey, California,112269,111772,+0.44,12.4,32.1,9134,3527,33.9382°N 118.1309°W,49.0,51.0,32.9,65578,530400
262,Clovis, California,112022,95631,+17.14,24.2,62.7,4404,1700,36.8282°N 119.6849°W,50.8,49.2,33.1,65976,309800
263,Pompano Beach, Florida,111954,99845,+12.13,24.0,62.2,4558,1760,26.2416°N 80.1339°W,50.7,49.3,39.4,42736,204400
264,Pueblo, Colorado,111750,106595,+4.84,53.6,138.8,2058,795,38.2699°N 104.6123°W,50.1,49.9,37.0,38380,126200
265,Elgin, Illinois,111683,108188,+3.23,37.4,96.9,2998,1158,42.0396°N 88.3217°W,50.9,49.1,35.2,61070,179100
266,Lowell, Massachusetts,111670,106519,+4.84,13.6,35.2,8129,3139,42.6390°N 71.3211°W,49.7,50.3,31.7,55383,252900
267,Antioch, California,111535,102372,+8.95,29.4,76.1,3772,1456,37.9791°N 121.7962°W,46.6,53.4,37.6,81203,356900
268,West Palm Beach, Florida,111398,99919,+11.49,55.1,142.7,1963,758,26.7464°N 80.1251°W,48.9,51.1,40.4,51217,236500
269,Peoria, Illinois,111388,115007,-3.15,48.2,124.8,2371,915,40.7515°N 89.6174°W,47.8,52.2,36.0,47369,130500
270,Everett, Washington,111262,103019,+8.00,33.3,86.2,3275,1264,47.9566°N 122.1914°W,52.4,47.6,36.3,52626,293700
271,Ventura, California,111128,106433,+4.41,21.8,56.5,5027,1941,34.2678°N 119.2542°W,49.3,50.7,36.7,69933,545649
272,Centennial, Colorado,110831,100377,+10.41,29.5,76.4,3727,1439,39.5906°N 104.8691°W,50.7,49.3,43.7,70950,319000
273,Lakeland, Florida,110516,97422,+13.44,65.9,170.7,1615,624,28.0555°N 81.9549°W,48.4,51.6,41.1,47311,140900
274,Gresham, Oregon,110158,105594,+4.32,23.3,60.3,4786,1848,45.5023°N 122.4416°W,49.8,50.2,37.8,58042,264600
275,Richmond, California,110146,103701,+6.21,30.1,78.0,3648,1409,37.9523°N 122.3606°W,49.1,50.9,36.4,61814,406900
276,Billings,Montana,109550,104170,+5.16,43.7,113.2,2525,975,45.7885°N 108.5499°W,49.5,50.5,38.0,54222,215500
277,Inglewood, California,109419,109673,-0.23,9.1,23.6,12160,4700,33.9561°N 118.3443°W,47.2,52.8,38.2,51620,418900
278,Broken Arrow, Oklahoma,109171,98850,+10.44,61.7,159.8,1741,672,36.0365°N 95.7810°W,48.6,51.4,38.0,70221,160900
279,Sandy Springs, Georgia,108797,93853,+15.92,37.7,97.6,2804,1083,33.9315°N 84.3687°W,48.0,52.0,35.7,73302,453200
280,Jurupa Valley, California,108393,0,NA,42.9,111.1,2414,932,34.0026°N 117.4676°W,,,,,
281,Hillsboro, Oregon,108389,91611,+18.31,25.0,64.7,4207,1624,45.5280°N 122.9357°W,49.5,50.5,32.3,75466,313400
282,Waterbury, Connecticut,108093,110366,-2.06,28.5,73.8,3799,1467,41.5585°N 73.0367°W,46.0,54.0,34.0,38752,129000
283,Santa Maria, California,107408,99553,+7.89,22.8,59.1,4662,1800,34.9332°N 120.4438°W,49.1,50.9,30.1,55775,340300
284,Boulder, Colorado,107353,97385,+10.24,24.8,64.2,4358,1683,40.0270°N 105.2519°W,51.8,48.2,28.5,70158,685500
285,Greeley, Colorado,107348,92889,+15.57,47.8,123.8,2176,840,40.4153°N 104.7697°W,49.4,50.6,31.1,51205,225400
286,Daly City, California,107008,101123,+5.82,7.6,19.7,14009,5409,37.7009°N 122.4650°W,50.2,49.8,40.2,89843,737500
287,Meridian, Idaho,106804,75092,+42.23,29.8,77.2,3584,1384,43.6142°N 116.3989°W,53.1,46.9,36.5,68623,236200
288,Lewisville, Texas,106586,95290,+11.85,36.7,95.1,2852,1101,33.0466°N 96.9818°W,49.4,50.6,33.3,58361,187100
289,Davie, Florida,106558,91992,+15.83,34.9,90.4,2919,1127,26.0791°N 80.2850°W,49.0,51.0,36.9,64986,273700
290,West Covina, California,106311,106098,+0.20,16.0,41.4,6740,2600,34.0559°N 117.9099°W,49.9,50.1,35.8,74076,501800
291,League City, Texas,106244,83560,+27.15,51.2,132.6,1992,769,29.4901°N 95.1091°W,48.3,51.7,33.7,104736,227800
292,Tyler, Texas,105729,96900,+9.11,56.6,146.6,1852,715,32.3173°N 95.3059°W,46.7,53.3,32.5,47811,155200
293,Norwalk, California,105120,105549,-0.41,9.7,25.1,10946,4226,33.9076°N 118.0835°W,49.9,50.1,34.9,63143,414400
294,San Mateo, California,105025,97207,+8.04,12.1,31.3,8592,3317,37.5603°N 122.3106°W,49.4,50.6,39.0,114444,over 1000000
295,Green Bay, Wisconsin,104879,104057,+0.79,45.4,117.6,2316,894,44.5207°N 87.9842°W,50.6,49.4,34.2,46020,129500
296,Wichita Falls, Texas,104576,104553,+0.02,72.2,187.0,1450,560,33.9067°N 98.5259°W,53.0,47.0,32.0,42459,97000
297,Sparks, Nevada,104246,90264,+15.49,35.9,93.0,2810,1080,39.5544°N 119.7356°W,49.7,50.3,38.8,57444,275900
298,Lakewood, New Jersey,104157,92843,+12.19,24.7,64.0,4079,1575,40.0771°N 74.2004°W,50.2,49.8,17.9,40391,422778
299,Burbank, California,103695,103340,+0.34,17.4,45.1,6003,2318,34.1901°N 118.3264°W,49.7,50.3,40.0,72618,691200
300,Rialto, California,103440,99171,+4.30,22.3,57.8,4633,1789,34.1118°N 117.3883°W,51.7,48.3,29.0,53582,284900
301,Allen, Texas,103383,84246,+22.72,27.1,70.2,3715,1434,33.0997°N 96.6631°W,51.0,49.0,38.6,102064,292900
302,El Cajon, California,103241,99478,+3.78,14.5,37.6,7156,2763,32.8017°N 116.9604°W,49.6,50.4,33.4,45577,424300
303,Las Cruces, New Mexico,102926,97618,+5.44,76.9,199.2,1323,511,32.3264°N 106.7897°W,49.5,50.5,32.6,39201,150700
304,Renton, Washington,102153,90927,+12.35,23.4,60.6,4314,1666,47.4761°N 122.1920°W,50.1,49.9,36.2,71951,373400
305,Davenport, Iowa,102085,99685,+2.41,62.9,162.9,1631,630,41.5541°N 90.6040°W,49.3,50.7,34.4,45964,126700
306,South Bend, Indiana,101860,101168,+0.68,41.4,107.2,2457,949,41.6769°N 86.2690°W,47.9,52.1,33.7,36711,77400
307,Vista, California,101224,93834,+7.88,18.7,48.4,5436,2099,33.1895°N 117.2386°W,52.1,47.9,31.9,61433,463300
308,Tuscaloosa, Alabama,101113,90468,+11.77,71.7,185.7,1399,540,33.2065°N 87.5346°W,46.9,53.1,27.9,39298,173100
309,Clinton, Michigan,100800,96796,+4.14,28.1,72.8,3573,1380,42.5903°N 82.9170°W,52.7,47.3,36.1,63879,125798
310,Edison, New Jersey,100693,99967,+0.73,30.1,78.0,3389,1309,40.5040°N 74.3494°W,49.1,50.9,36.3,93502,369074
311,Woodbridge, New Jersey,100450,99585,+0.87,23.3,60.3,4351,1680,40.5607°N 74.2927°W,50.1,49.9,37.3,82039,276931
312,San Angelo, Texas,100215,93200,+7.53,59.9,155.1,1681,649,31.4411°N 100.4505°W,48.9,51.1,33.2,46619,136500
313,Kenosha, Wisconsin,100164,99218,+0.95,28.0,72.5,3577,1381,42.5822°N 87.8456°W,48.9,51.1,36.6,51640,152700
